id,company_id,timezone_id,name,clid,color,color_id,status,terminal_monitoring_enabled,location_control,liveness_enabled,ips,mac_addresses,managers
6345,1525,525,Сахалин-2,nan,#2898FF,271,1,False,1.0,False,['195.72.245.42'],['34:2E:B6:C2:47:9D'],[]
6353,1525,412,Тюмень-1,nan,#2898FF,271,1,False,1.0,False,['89.250.144.80'],['F8:C3:9E:DE:D1:F1'],[34491]
6336,1525,412,Челябинск-2,nan,#2898FF,271,1,False,1.0,False,['87.249.209.170'],['30:45:96:6C:C1:CF'],[]
6351,1525,450,Красноярск-1,nan,#2898FF,271,1,False,1.0,False,['195.239.173.62'],['E4:34:93:55:01:D1'],[]
8789,1525,535,Камчатка-3,nan,#2898FF,271,1,False,1.0,False,['91.189.234.2'],"['30:45:96:6C:D1:E7', 'F8:C3:9E:DE:CC:03']",[64958]
6335,1525,516,Находка-2,nan,#F43C00,354,1,False,1.0,False,['213.138.213.209'],['C4:9F:4C:E0:98:68'],[83598]
5969,1525,516,Производственная мастерская,nan,#2320FF,273,1,False,1.0,False,['95.154.76.32'],['74:C1:4F:54:EC:75'],[]
6326,1525,412,Екатеринбург-3,nan,#FF0000,353,1,True,1.0,False,['91.230.154.137'],['00:BE:3B:92:01:40'],[]
9100,1525,516,07.3_Производственная мастерская,nan,#2898FF,271,1,True,0.0,False,['127.0.0.1'],['FF:FF:FF:FF:FF:FF'],[]
9811,1525,1,Размещение тест,nan,#D1F3FF,1,1,True,0.0,False,['127.0.0.1'],['FF:FF:FF:FF:FF:FF'],[]
6320,1525,516,Арсеньев-1,nan,#2898FF,271,1,False,1.0,False,['82.162.245.66'],['7C:76:68:D1:5F:29'],[]
10451,1525,1,06.1_Распределительный центр,nan,#2898FF,271,1,True,0.0,False,['127.0.0.1'],['FF:FF:FF:FF:FF:FF'],[103937]
6359,1525,516,Хабаровск-3,nan,#2898FF,271,1,False,1.0,False,['212.19.5.158'],['DC:72:9B:B9:13:0E'],[34730]
6324,1525,516,Уссурийск-1,nan,#2898FF,271,1,False,1.0,False,['213.5.16.94'],"['B4:05:A1:96:12:5E', '24:2E:02:B4:81:78']",[]
6347,1525,516,Уссурийск-2,nan,#2898FF,271,1,False,1.0,False,['213.5.16.115'],"['44:55:C4:FC:CB:BB', 'D0:5A:FD:DA:58:DD']",[34576]
6322,1525,526,Сахалин-3,nan,#2898FF,271,1,False,1.0,False,['188.113.163.133'],['44:55:C4:FC:C8:6E'],[70050]
6334,1525,475,Иркутск-1,nan,#2898FF,271,1,False,1.0,False,['195.206.56.146'],['74:C1:4F:54:EC:25'],[]
6307,1525,383,Белгород-1,nan,#2898FF,271,1,True,1.0,False,['195.239.162.222'],['F8:C3:9E:DE:D6:63'],[]
