id,company_id,name,clid,color,color_id,status,managers,placements
7394,1525,01.1.31_Отдел контроля магазина Петропавловск Камчатский-1,nan,#D1F3FF,1,1,[],[]
3070,1525,4.1.3_Группа по управлению запасами магазинов,nan,#D1F3FF,1,1,[],[]
3019,1525,03.5_Служба документационного и хозяйственного обеспечения,nan,#D1F3FF,1,1,[],[]
3027,1525,07.4.4_Группа дизайна,nan,#D1F3FF,1,1,[],[]
3031,1525,01.1.1_Отдел контроля (РЦ Владивосток),nan,#D1F3FF,1,1,[],[]
3035,1525,03.6_Группа внутренних коммуникаций,nan,#D1F3FF,1,1,[],[]
3039,1525,05.1.2_Товарное направление TOYS&GAMES+BABY WORLD+Оборудование,nan,#D1F3FF,1,1,[],[]
3043,1525,05.2.3_Товарное направление Garment&shoes,nan,#D1F3FF,1,1,[],[]
3047,1525,05.3.1_Toys&games,nan,#D1F3FF,1,1,[],[]
3051,1525,07.2_Отдел рекламы,nan,#D1F3FF,1,1,[],[]
3055,1525,01_Руководство,nan,#D1F3FF,1,1,[],[]
3059,1525,02.2_Учетно-контрольный отдел,nan,#D1F3FF,1,1,[],[]
3063,1525,04_Департамент розничных продаж,nan,#D1F3FF,1,1,[],[]
3072,1525,Группа досудебного урегулирования споров,nan,#D1F3FF,1,1,[],[]
3074,1525,03.1_Отдел аттестации и оценки персонала,nan,#D1F3FF,1,1,[],[]
3076,1525,08.3_Отдел регионального развития СНГ/Юг/Сибирь/Урал/ДВ,nan,#D1F3FF,1,1,[],[]
3078,1525,05.3.3.3_Сезонная одежда,nan,#D1F3FF,1,1,[],[]
3080,1525,05.4.1_Baby world+Garment&shoes,nan,#D1F3FF,1,1,[],[]
4720,1525,02_Отдел приемки,nan,#D1F3FF,1,1,[],[]
6088,1525,03.3_Отдел проведения специальных психофизиологических исследований,nan,#D1F3FF,1,1,[],[]
6098,1525,01.1.43_Отдел контроля магазина Челябинск-2,nan,#D1F3FF,1,1,[],[]
4745,1525,02_Отдел управления ассортиментом и запасами магазина,nan,#D1F3FF,1,1,[],[]
4755,1525,Вспомогательный отдел,nan,#D1F3FF,1,1,[],[]
4844,1525,01_Администрация магазина ЕКТ-3,nan,#D1F3FF,1,1,[],[]
4777,1525,01_Руководители магазина,nan,#D1F3FF,1,1,[],[]
4785,1525,03_Кассовый отдел,nan,#D1F3FF,1,1,[],[]
4876,1525,01_Администрация магазина КМС-1,nan,#D1F3FF,1,1,[],[]
4886,1525,01_Администрация магазина КРС-1,nan,#D1F3FF,1,1,[],[]
4795,1525,02_Отдел приемки товара,nan,#D1F3FF,1,1,[],[]
4911,1525,01_Администрация магазина КРС-4,nan,#D1F3FF,1,1,[],[]
4825,1525,02_Отдел кадров,nan,#D1F3FF,1,1,[],[]
4833,1525,02_Отдел управления ассортиментом и запасами магазина ЕКТ-2,nan,#D1F3FF,1,1,[],[]
4769,1525,03_ Служба торгового зала БСК-1,nan,#D1F3FF,1,1,[],[]
4851,1525,04_Отдел учета ТМЦ,nan,#D1F3FF,1,1,[],[]
4731,1525,03_Служба торгового зала АРТ-1,nan,#D1F3FF,1,1,[],[]
4866,1525,03_Кассовый отдел,nan,#D1F3FF,1,1,[],[]
4939,1525,03_Служба торгового зала ННВ-1,nan,#D1F3FF,1,1,[],[]
4858,1525,03_Служба торгового зала ПКМ-1,nan,#D1F3FF,1,1,[],[]
4761,1525,04_Отдел обслуживания клиентов БЕЛ-2,nan,#D1F3FF,1,1,[],[]
8703,1525,Уссурийск-1,nan,#D1F3FF,1,1,[],[]
4882,1525,01_Руководители магазина,nan,#D1F3FF,1,1,[],[]
4892,1525,04.2_Руководители отделов,nan,#D1F3FF,1,1,[],[]
4898,1525,01_Администрация магазина,nan,#D1F3FF,1,1,[],[]
4899,1525,02_Сотрудники магазина,nan,#D1F3FF,1,1,[],[]
4905,1525,02.2_Менеджеры ПОК,nan,#D1F3FF,1,1,[],[]
4916,1525,03_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
4921,1525,02_Отдел приемки товара,nan,#D1F3FF,1,1,[],[]
4926,1525,01_Руководители магазина,nan,#D1F3FF,1,1,[],[]
4930,1525,02_Сотрудники магазина,nan,#D1F3FF,1,1,[],[]
4935,1525,01_Руководители магазина,nan,#D1F3FF,1,1,[],[]
4708,1525,03_Кассовый отдел,nan,#D1F3FF,1,1,[],[]
7334,1525,07.3_Производственная мастерская,nan,#D1F3FF,1,1,[],[]
7372,1525,09.3.2_Группа 1С ЗУП и ДО,nan,#D1F3FF,1,1,[],[]
7395,1525,01.1.31_Отдел контроля магазина Петропавловск Камчатский-1,nan,#D1F3FF,1,1,[],[]
4912,1525,05_Сотрудники магазина,nan,#D1F3FF,1,1,[],[]
9029,1525,1.3.3_Общий отдел,nan,#D1F3FF,1,1,[],[]
4732,1525,04_Отдел учета ТМЦ,nan,#D1F3FF,1,1,[],[]
4746,1525,03_Служба торгового зала,nan,#D1F3FF,1,1,[],[]
4756,1525,07_Служба торгового зала,nan,#D1F3FF,1,1,[],[]
9294,1525,5г. Отдел Понимания Shoes,nan,#D1F3FF,1,1,[],[]
4762,1525,01_Руководители магазина,nan,#D1F3FF,1,1,[],[]
4778,1525,04_Отдел учета ТМЦ,nan,#D1F3FF,1,1,[],[]
4818,1525,01_Администрация магазина ЕКТ-1,nan,#D1F3FF,1,1,[],[]
4852,1525,02_Отдел управления ассортиментом и запасами магазина ИРК-1,nan,#D1F3FF,1,1,[],[]
4940,1525,02_Отдел управления ассортиментом и запасами магазина ННВ-1,nan,#D1F3FF,1,1,[],[]
4786,1525,03_Служба торгового зала БЛВ-1,nan,#D1F3FF,1,1,[],[]
4796,1525,03_Служба торгового зала БЛВ-2,nan,#D1F3FF,1,1,[],[]
4721,1525,03_Служба торгового зала ВЛД-2,nan,#D1F3FF,1,1,[],[]
4887,1525,03_Служба торгового зала КРС-1,nan,#D1F3FF,1,1,[],[]
4922,1525,03_Служба торгового зала НХД-1,nan,#D1F3FF,1,1,[],[]
4810,1525,01_Руководители магазина,nan,#D1F3FF,1,1,[],[]
4816,1525,02_Отдел управления ассортиментом и запасами магазина,nan,#D1F3FF,1,1,[],[]
4867,1525,03_Служба торгового зала ПКМ-2,nan,#D1F3FF,1,1,[],[]
4770,1525,04_Отдел обслуживания клиентов БСК-1,nan,#D1F3FF,1,1,[],[]
4834,1525,04_Отдел обслуживания клиентов ЕКТ-2,nan,#D1F3FF,1,1,[],[]
3016,1525,03.4_Отдел подбора персонала,nan,#D1F3FF,1,1,[],[]
3024,1525,07.4.1_Группа проектирования и производства технологического и торгового оборудования,nan,#D1F3FF,1,1,[],[]
4826,1525,04_Отдел учета ТМЦ,nan,#D1F3FF,1,1,[],[]
3028,1525,07.4.5_Группа сопровождения,nan,#D1F3FF,1,1,[],[]
3032,1525,01.1.1.1_Группа контроля РЦ Владивосток,nan,#D1F3FF,1,1,[],[]
3036,1525,08.4_Отдел логистики,nan,#D1F3FF,1,1,[],[]
3040,1525,05.1.3_Товарное направление GARMENR&SHOES,nan,#D1F3FF,1,1,[],[]
3044,1525,05.3_Отдел управления торговым пространством,nan,#D1F3FF,1,1,[],[]
3048,1525,05.3.2_Baby world+Garment&shoes,nan,#D1F3FF,1,1,[],[]
3052,1525,06_Операционный департамент,nan,#D1F3FF,1,1,[],[]
4845,1525,03_Отдел учета ТМЦ,nan,#D1F3FF,1,1,[],[]
4859,1525,05_Отдел учета ТМЦ,nan,#D1F3FF,1,1,[],[]
4877,1525,02_Отдел приемки товара,nan,#D1F3FF,1,1,[],[]
4883,1525,03_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
4893,1525,03_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
4900,1525,03_Отдел учета ТМЦ,nan,#D1F3FF,1,1,[],[]
4906,1525,03_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
4917,1525,05_Кассовый отдел,nan,#D1F3FF,1,1,[],[]
4927,1525,05_Кассовый отдел,nan,#D1F3FF,1,1,[],[]
4931,1525,03_Отдел по учету ТМЦ,nan,#D1F3FF,1,1,[],[]
4936,1525,03_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
4944,1525,04.1_Администраторы,nan,#D1F3FF,1,1,[],[]
4948,1525,02_Отдел приемки,nan,#D1F3FF,1,1,[],[]
4951,1525,02_Отдел управления ассортиментом и запасами магазина,nan,#D1F3FF,1,1,[],[]
4954,1525,02_Отдел кадров,nan,#D1F3FF,1,1,[],[]
4957,1525,07_Служба торгового зала,nan,#D1F3FF,1,1,[],[]
6089,1525,03.4_Отдел подбора персонала,nan,#D1F3FF,1,1,[],[]
3056,1525,02_Контрольно-финансовый департамент,nan,#D1F3FF,1,1,[],[]
3064,1525,04.1_Отдел розничных продаж,nan,#D1F3FF,1,1,[],[]
4709,1525,05_Отдел учета ТМЦ,nan,#D1F3FF,1,1,[],[]
4722,1525,04_Отдел учета ТМЦ,nan,#D1F3FF,1,1,[],[]
4747,1525,04_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
4757,1525,08_Отдел контроля и предотвращения потерь,nan,#D1F3FF,1,1,[],[]
7373,1525,09.3.1_Группа бизнес-систем,nan,#D1F3FF,1,1,[],[]
7335,1525,Производственная мастерская,nan,#D1F3FF,1,1,[],[]
4763,1525,03_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
4959,1525,01_Администрация магазина НВС-2,nan,#D1F3FF,1,1,[],[]
4846,1525,02_Отдел управления ассортиментом и запасами магазина ЕКТ-3,nan,#D1F3FF,1,1,[],[]
4888,1525,02_Отдел управления ассортиментом и запасами магазина КРС-1,nan,#D1F3FF,1,1,[],[]
4967,1525,02_Отдел управления ассортиментом и запасами магазина НУР-1,nan,#D1F3FF,1,1,[],[]
4771,1525,03_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
4779,1525,05_Кассовый отдел,nan,#D1F3FF,1,1,[],[]
4787,1525,05_Отдел учета ТМЦ,nan,#D1F3FF,1,1,[],[]
4797,1525,04_Отдел учета ТМЦ,nan,#D1F3FF,1,1,[],[]
4811,1525,08_Отдел контроля и предотвращения потерь,nan,#D1F3FF,1,1,[],[]
4817,1525,04_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
4819,1525,02_Отдел приемки товара,nan,#D1F3FF,1,1,[],[]
4827,1525,05_Кассовый отдел,nan,#D1F3FF,1,1,[],[]
4932,1525,02_Отдел управления ассортиментом и запасами магазина НХД-2,nan,#D1F3FF,1,1,[],[]
4961,1525,03_Служба торгового зала НВС-2,nan,#D1F3FF,1,1,[],[]
4853,1525,04_Отдел обслуживания клиентов ИРК-1,nan,#D1F3FF,1,1,[],[]
4963,1525,04_Отдел обслуживания клиентов НВС-2,nan,#D1F3FF,1,1,[],[]
4941,1525,04_Отдел обслуживания клиентов ННВ-1,nan,#D1F3FF,1,1,[],[]
8704,1525,Камчатка-1,nan,#D1F3FF,1,1,[],[]
4835,1525,01_Руководители магазина,nan,#D1F3FF,1,1,[],[]
4860,1525,03_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
4868,1525,05_Отдел учета ТМЦ,nan,#D1F3FF,1,1,[],[]
4878,1525,03_Кассовый отдел,nan,#D1F3FF,1,1,[],[]
4884,1525,07_Служба торгового зала,nan,#D1F3FF,1,1,[],[]
3057,1525,02.3_Юридический отдел,nan,#D1F3FF,1,1,[],[]
4894,1525,04_Отдел учета ТМЦ,nan,#D1F3FF,1,1,[],[]
3013,1525,03.1_Отдел аттестации  и развития персонала,nan,#D1F3FF,1,1,[],[]
3060,1525,02.4_Ревизионный отдел,nan,#D1F3FF,1,1,[],[]
4901,1525,02_Отдел управления ассортиментом и запасами магазина,nan,#D1F3FF,1,1,[],[]
4907,1525,04_Отдел учета ТМЦ,nan,#D1F3FF,1,1,[],[]
4913,1525,03_Отдел учета ТМЦ,nan,#D1F3FF,1,1,[],[]
4918,1525,07_Служба торгового зала,nan,#D1F3FF,1,1,[],[]
4923,1525,04_Отдел по учету ТМЦ,nan,#D1F3FF,1,1,[],[]
4928,1525,08_Отдел контроля и предотвращения потерь,nan,#D1F3FF,1,1,[],[]
4937,1525,07_Служба торгового зала,nan,#D1F3FF,1,1,[],[]
4945,1525,Вспомогательный отдел,nan,#D1F3FF,1,1,[],[]
4949,1525,03_Служба торгового зала,nan,#D1F3FF,1,1,[],[]
4952,1525,04_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
4955,1525,03_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
4958,1525,08_Отдел контроля и предотвращения потерь,nan,#D1F3FF,1,1,[],[]
4965,1525,07_Служба торгового зала,nan,#D1F3FF,1,1,[],[]
4969,1525,01_Администрация магазина,nan,#D1F3FF,1,1,[],[]
4970,1525,03_Служба торгового зала,nan,#D1F3FF,1,1,[],[]
4971,1525,02_Отдел управления ассортиментом и запасами магазина,nan,#D1F3FF,1,1,[],[]
4972,1525,04_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
3017,1525,03.4.1_Группа по подбору персонала (Офис/РЦ),nan,#D1F3FF,1,1,[],[]
7336,1525,02.5_Отдел контроллинга,nan,#D1F3FF,1,1,[],[]
7374,1525,09.3.1_Группа бизнес-систем,nan,#D1F3FF,1,1,[],[]
